NodeName=node07|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.01|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node07|NodeHostName=node07|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122988|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T12:24:28|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=130|LowestJoules=569304|ConsumedJoules=87903220|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node08|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=19.96|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node08|NodeHostName=node08|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=114060|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=pdelcomp(8309)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T12:24:28|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=186|LowestJoules=451749|ConsumedJoules=92212749|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node09|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=17.66|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node09|NodeHostName=node09|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=106516|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=emoharra(8838)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T14:51:30|SlurmdStartTime=2020-03-06T14:56:43|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=147|LowestJoules=600464|ConsumedJoules=86904451|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node10|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.07|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node10|NodeHostName=node10|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=123239|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T08:10:12|SlurmdStartTime=2020-03-06T14:56:36|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=140|LowestJoules=716587|ConsumedJoules=89520467|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node11|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.08|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node11|NodeHostName=node11|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122241|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T08:10:10|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=139|LowestJoules=852963|ConsumedJoules=83843963|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node12|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=15.76|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node12|NodeHostName=node12|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=108392|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=emoharra(8838)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T08:10:14|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=151|LowestJoules=453916|ConsumedJoules=83850547|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node13|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=15.60|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node13|NodeHostName=node13|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=110278|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=emoharra(8838)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T11:26:20|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=160|LowestJoules=350810|ConsumedJoules=92998960|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node14|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=19.93|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node14|NodeHostName=node14|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=113958|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=pdelcomp(8309)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T11:26:21|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=201|LowestJoules=393316|ConsumedJoules=86051650|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node15|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=20.00|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node15|NodeHostName=node15|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=114467|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=pdelcomp(8309)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T11:26:22|SlurmdStartTime=2020-03-06T14:56:50|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=203|LowestJoules=817670|ConsumedJoules=94967974|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node16|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=15.60|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node16|NodeHostName=node16|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=109879|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=emoharra(8838)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T14:20:09|SlurmdStartTime=2020-03-06T14:56:36|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=160|LowestJoules=705952|ConsumedJoules=84869259|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node21|Arch=x86_64|CoresPerSocket=6|CPUAlloc=12|CPUErr=0|CPUTot=12|CPULoad=2.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node21|NodeHostName=node21|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30670|Sockets=2|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=aangelon(7048)|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:35:33|SlurmdStartTime=2020-03-06T14:56:34|CfgTRES=cpu=12,mem=31905M|AllocTRES=cpu=12|CapWatts=n/a|CurrentWatts=55|LowestJoules=198809|ConsumedJoules=31452559|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node22|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=1.07|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node22|NodeHostName=node22|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30471|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:35:38|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=23|LowestJoules=72985|ConsumedJoules=27602517|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node23|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.06|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node23|NodeHostName=node23|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30026|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:51|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=22|LowestJoules=99854|ConsumedJoules=29826602|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node24|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node24|NodeHostName=node24|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30798|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:51|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=22|LowestJoules=151441|ConsumedJoules=22606687|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node25|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node25|NodeHostName=node25|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=29973|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:58|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=23|LowestJoules=115095|ConsumedJoules=23544313|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node26|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node26|NodeHostName=node26|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=29672|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2020-01-22T09:25:08|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=25|LowestJoules=138547|ConsumedJoules=26410667|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node27|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.03|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node27|NodeHostName=node27|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30590|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-16T14:31:56|SlurmdStartTime=2020-03-06T14:56:34|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=19|LowestJoules=93702|ConsumedJoules=16736951|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node28|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node28|NodeHostName=node28|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30124|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-16T14:31:57|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=25|LowestJoules=109831|ConsumedJoules=21976447|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node29|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node29|NodeHostName=node29|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=30683|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:52|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=22|LowestJoules=139224|ConsumedJoules=20930375|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node30|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.03|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node30|NodeHostName=node30|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=29519|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:50|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=24|LowestJoules=132675|ConsumedJoules=14730261|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node31|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node31|NodeHostName=node31|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=29521|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:50|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=25|LowestJoules=134788|ConsumedJoules=14409621|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node32|Arch=x86_64|CoresPerSocket=6|CPUAlloc=0|CPUErr=0|CPUTot=12|CPULoad=0.01|AvailableFeatures=infiniband,32gb,sandybridge-ep,e5-2620|ActiveFeatures=infiniband,32gb,sandybridge-ep,e5-2620|Gres=(null)|NodeAddr=node32|NodeHostName=node32|Version=17.02|OS=Linux|RealMemory=31905|AllocMem=0|FreeMem=29456|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=long|BootTime=2019-10-17T14:50:51|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=12,mem=31905M|AllocTRES=|CapWatts=n/a|CurrentWatts=22|LowestJoules=124276|ConsumedJoules=14202569|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
